Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Белый шоколад,5020,132,Бакалея,Прошел строгий контроль качества на всех этапах производства.,2012-02-07,2030-01-05,3.81:,Shipping
2,Пакеты для Дня смеха,5126,847,Товары для дома,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2022-06-22,2028-08-01,1.12:,Temporarily Unavailable
3,Авокадо,2834,411,Фрукты,Может использоваться в вегетарианской диете как источник белка.,2006-04-20,2019-03-01,3.04:,Awaiting Review
4,Чай черный,4936,693,Бакалея,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2013-01-01,2020-08-03,1.03:,Sold
5,Каша из дробленной перловой крупы,1651,420,Бакалея,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2003-08-25,2025-01-12,2.58:,Returned
6,Адыгейский сыр,7265,755,Молочные продукты,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2003-08-01,2016-03-01,3.37:,In Stock
7,Варенец,8672,836,Молочные продукты,Помогает поддерживать нормальный уровень триглицеридов в крови.,1996-01-23,2005-04-01,1.88:,Available for Pickup
8,Блины с мясом,495,782,Мясо,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2011-01-02,2013-01-18,4.12:,New
9,Пармезан,5078,241,Молочные продукты,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2014-01-07,2025-02-08,3.09:,Pending
10,Одинцовская,8743,688,Напитки,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2019-01-01,2023-06-02,0.87:,Awaiting Payment
11,Тмин молотый,6817,586,Бакалея,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2005-09-04,2021-02-15,1.35:,Refunded
12,Клюква,7510,571,Фрукты,Помогает поддерживать нормальный уровень артериального давления.,2019-10-01,2023-03-08,4.0:,Available for Pickup
13,Адыгейский сыр,2119,344,Молочные продукты,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2013-04-03,2016-01-01,2.59:,Available for Pickup
14,Окра,2009,893,Овощи,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2013-03-10,2017-03-15,2.04:,In Stock
15,Пятновыводитель,2748,526,Товары для дома,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2016-10-01,2020-09-11,0.41:,Backorder
16,Капуста белокочанная,764,160,Овощи,"Обеспечивает организм необходимыми жирами, белками и углеводами.",2022-01-03,2023-01-09,0.07:,Temporarily Unavailable
17,Пакеты для уборки,6598,313,Товары для дома,"Подходит для приготовления как горячих, так и холодных блюд.",2008-06-03,2024-07-04,2.32:,Returned
18,Айран,767,60,Молочные продукты,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2001-06-25,2021-02-05,3.82:,Out of Stock
19,Пакеты для запекания,7360,622,Товары для дома,Отличается простотой в использовании и хранении.,2008-01-07,2014-05-01,2.14:,In Stock
20,Пакеты для ярмарки,3252,92,Товары для дома,"Является источником витаминов группы B, необходимых для энергетического обмена.",1999-03-05,2001-01-11,2.13:,New
21,Пакеты для Рождества,8606,729,Товары для дома,Отличается высокими показателями усвояемости организмом.,1995-09-08,2001-11-04,0.7:,Awaiting Payment
22,Инжир,3329,106,Фрукты,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2019-02-03,2026-01-17,3.92:,Delivered
23,Лардон,1485,739,Мясо,Помогает сохранять бодрость и активность в течение дня.,2014-02-11,2026-01-02,0.07:,Temporarily Unavailable
24,Хурма,9317,765,Фрукты,"Подходит для людей всех возрастов, включая детей и пожилых.",2022-01-04,2025-04-03,4.04:,New
25,Нектарин,4139,794,Фрукты,Способствует улучшению работы пищеварительной системы.,2018-03-17,2018-09-01,3.17:,Awaiting Payment
26,Панчетта,3352,645,Мясо,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",1991-03-18,2000-03-20,2.01:,In Stock
27,Зельц,9481,529,Мясо,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2011-01-11,2013-01-05,1.93:,New
28,Миксер,2543,124,Товары для дома,Может использоваться в вегетарианской диете как источник белка.,2021-02-13,2028-02-02,4.12:,Temporarily Unavailable
29,Ножи столовые,7114,885,Товары для дома,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",1999-01-03,2025-01-18,2.4:,New
30,Ямс,4343,397,Овощи,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2002-01-02,2026-05-02,2.1:,Sold
31,Ряженка,8118,72,Молочные продукты,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2010-06-16,2017-01-12,3.42:,Backorder
32,Сэндвичи с ветчиной,1899,731,Мясо,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2008-10-01,2020-02-26,3.29:,Awaiting Review
33,Окорок,3119,474,Мясо,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2017-02-11,2027-01-04,1.77:,Temporarily Unavailable
34,Маринад для мяса,9231,419,Бакалея,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2007-06-15,2020-02-02,3.53:,Delivered
35,Инжир,8687,832,Фрукты,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2010-12-07,2027-01-08,2.87:,Backorder
36,Полотенца банные,6315,483,Товары для дома,Помогает улучшить когнитивные функции и память.,2009-03-20,2012-09-18,3.9:,Awaiting Review
37,Шубат,1175,637,Молочные продукты,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",1998-03-01,2007-02-04,1.48:,Delivered
38,Морковь,8435,438,Овощи,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2015-01-12,2015-02-13,0.31:,Pending
39,Укроп,6002,139,Овощи,Помогает поддерживать нормальный уровень глюкозы в крови.,2019-08-04,2025-02-12,3.7:,Sold
40,Сердце,5182,140,Мясо,Помогает поддерживать здоровый цвет лица и упругость кожи.,2017-07-13,2020-02-05,0.69:,Returned
41,Йогурт,6451,352,Молочные продукты,Отличается натуральным составом и отсутствием искусственных добавок.,1999-03-06,2029-01-17,2.7:,Awaiting Payment
42,Электрочайник,3667,751,Товары для дома,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2003-02-07,2024-01-02,1.36:,Out of Stock
43,Свекла,4102,929,Овощи,Помогает поддерживать нормальный уровень триглицеридов в крови.,2004-02-01,2024-08-19,3.66:,Returned
44,Кабан,3197,95,Мясо,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2015-01-02,2015-04-06,0.16:,Awaiting Review
45,Виноград,1283,230,Фрукты,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2007-03-08,2020-02-25,1.53:,Delivered
46,Банан,228,349,Фрукты,Отличается высоким уровнем биологической доступности питательных веществ.,2007-07-10,2008-01-01,1.04:,Returned
47,Фета,1732,347,Молочные продукты,"Подходит для людей всех возрастов, включая детей и пожилых.",2018-06-24,2026-03-15,1.2:,Shipping
48,Растительное масло кокосовое,9090,496,Бакалея,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2000-05-01,2004-08-18,3.95:,Out of Stock
49,Варенец,6559,787,Молочные продукты,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2021-05-09,2029-01-03,2.32:,Returned
50,Сельдерей,7567,835,Овощи,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2019-08-13,2022-01-24,0.02:,Shipping
51,Пакеты для дня рождения,9672,739,Товары для дома,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2000-08-10,2004-01-08,1.68:,Temporarily Unavailable
52,Гауда,4796,793,Молочные продукты,Отличается гипоаллергенностью и безопасностью для большинства людей.,2018-07-12,2027-02-01,4.26:,Awaiting Review
53,Моцарелла,5346,924,Молочные продукты,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2015-01-04,2027-08-02,1.43:,Shipping
54,Панчетта,9011,745,Мясо,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2018-03-15,2024-01-01,4.73:,Awaiting Payment
