product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Марциальная вода,6641,876,Напитки,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2013-08-02,2023-11-04,0.49,Shipping
2,Смородина,6255,700,Фрукты,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2008-05-05,2018-04-16,3.56,Sold
3,Доктор Пеппер,1250,169,Напитки,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1997-02-16,2025-02-10,1.47,On Backorder
4,Лук-порей,9613,797,Овощи,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2001-06-10,2014-04-13,3.8,Cancelled
5,Мацони,8555,571,Молочные продукты,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2020-02-14,2027-10-08,4.89,Delivered
6,Моющее средство для пола,763,958,Товары для дома,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2013-01-17,2030-08-04,1.98,Available for Pickup
7,Пакеты пластиковые,9542,99,Товары для дома,"Помогает улучшить состояние волос, ногтей и кожи.",1994-03-16,2020-03-08,2.83,New
8,Адыгейский сыр,8850,915,Молочные продукты,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2007-08-06,2030-02-16,3.79,Awaiting Payment
9,Подставки под горячее,3904,634,Товары для дома,Может использоваться в вегетарианской диете как источник белка.,2022-08-09,2029-04-06,3.06,Awaiting Review
10,Кровяная колбаса,7736,759,Мясо,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",1998-06-11,2000-01-02,3.24,Awaiting Review
11,Ананас,1703,657,Фрукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",1994-11-20,2028-02-02,1.11,Awaiting Review
12,Каймак,7695,684,Молочные продукты,"Подходит для людей всех возрастов, включая детей и пожилых.",1991-09-16,2007-03-13,2.37,Available for Pickup
13,Папайя,3020,60,Фрукты,Прошел все необходимые сертификации и соответствует международным стандартам.,2015-04-09,2019-03-12,2.95,Shipping
14,Пакеты для Дня матери,1013,875,Товары для дома,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2022-01-26,2026-08-02,1.4,Awaiting Review
15,Манго,6561,757,Фрукты,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2006-04-01,2009-01-14,3.71,In Stock
16,Бастурма,4369,655,Мясо,"Отличается длительным сроком годности, что позволяет делать запасы.",1997-04-03,2013-02-28,4.64,On Backorder
17,Утиная печень,4776,317,Мясо,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",1999-07-02,2008-01-14,3.7,Backorder
18,Ополаскиватель для полости рта,8528,892,Товары для дома,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",1994-02-01,2026-01-12,3.17,Temporarily Unavailable
19,Гауда,1079,678,Молочные продукты,Помогает поддерживать нормальный уровень гормонов в организме.,2022-01-01,2024-01-15,0.59,Cancelled
20,Котлеты,559,669,Мясо,Отличается простотой в использовании и хранении.,1998-02-10,2012-03-19,4.55,Returned
21,Растительное масло горчичное,629,692,Бакалея,Помогает поддерживать оптимальный вес и форму тела.,2008-01-17,2008-02-15,2.92,New
22,Айва,942,775,Фрукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1992-04-24,2001-08-17,4.19,Out of Stock
23,Телятина,671,879,Мясо,Помогает поддерживать нормальный уровень триглицеридов в крови.,1991-04-02,2013-01-03,1.0,Refunded
24,Капучино,9115,232,Напитки,Способствует нормализации обмена веществ в организме.,2012-04-04,2018-03-20,3.77,Sold
25,Гранат,8545,485,Фрукты,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",1990-01-11,2021-06-02,2.93,Pending
26,Каша из овса,6175,668,Бакалея,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2022-05-07,2026-04-06,2.02,Returned
27,Мыло жидкое,5778,334,Товары для дома,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2011-03-11,2016-01-05,0.6,Refunded
28,Консервированные бобы,8025,893,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,2018-01-02,2025-04-01,1.86,Available for Pickup
29,Вологодская,2580,160,Напитки,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2007-02-15,2029-01-14,0.66,Awaiting Payment
30,Российский сыр,9362,156,Молочные продукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2002-01-10,2017-03-02,0.7,Shipping
31,Контейнеры для хранения продуктов,7472,204,Товары для дома,"Является источником витаминов группы B, необходимых для энергетического обмена.",2002-02-04,2002-07-08,3.41,New
32,Гамбургеры,1175,484,Мясо,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2004-05-11,2018-01-05,0.9,Awaiting Review
33,Айва,8314,234,Фрукты,Подходит для использования в качестве замены традиционных молочных продуктов.,1991-03-02,2007-01-06,1.58,New
34,Сок яблочный,9336,537,Напитки,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2000-04-15,2028-01-01,3.21,On Backorder
35,Козлятина,9208,99,Мясо,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,1992-08-08,2018-05-04,1.74,Awaiting Payment
36,Айран,4409,145,Молочные продукты,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2019-03-22,2024-04-09,2.59,Out of Stock
37,Рамбутан,1361,982,Фрукты,Помогает поддерживать нормальный уровень артериального давления.,2000-05-01,2010-07-09,3.42,Sold
38,Брюква,7175,250,Овощи,"Отличается приятным ароматом, который усиливает аппетит.",2014-01-03,2030-07-01,4.78,In Stock
39,BonAqua,6852,152,Напитки,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2016-02-06,2020-09-12,2.45,Awaiting Payment
40,Пакеты для Всемирного дня театра,1353,716,Товары для дома,"Является источником антиоксидантов, замедляющих процессы старения.",2004-11-01,2007-02-06,2.98,Available for Pickup
41,Консервный нож,1384,913,Товары для дома,Поддерживает иммунитет и общее состояние здоровья.,2012-08-06,2013-01-09,2.96,In Stock
42,Vittel,9436,615,Напитки,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2022-07-03,2030-01-14,1.91,Returned
43,Северянка,5730,159,Напитки,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,2001-01-01,2005-03-13,4.72,Awaiting Review
44,Черный перец горошком,818,432,Бакалея,Помогает поддерживать нормальный уровень pH в организме.,2008-01-18,2016-01-11,3.34,Refunded
45,Растительное масло кукурузное,8739,589,Бакалея,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2003-03-10,2019-04-11,4.7,Temporarily Unavailable
46,Карачинская,247,471,Напитки,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2013-03-03,2023-01-01,3.92,Returned
47,Мороженое,9674,149,Молочные продукты,"Отличается длительным сроком годности, что позволяет делать запасы.",2001-04-08,2024-06-01,2.03,Shipping
48,Королевская,8103,255,Напитки,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2011-02-04,2023-03-07,2.12,Out of Stock
49,Эмменталь,4914,171,Молочные продукты,Способствует снижению уровня стресса и улучшению настроения.,1996-01-02,1997-02-09,4.1,Temporarily Unavailable
50,Кружки,7757,834,Товары для дома,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",1998-01-03,2014-01-01,4.22,Awaiting Review
51,Виноград,3048,20,Фрукты,"Подходит для приготовления как горячих, так и холодных блюд.",2008-01-02,2010-01-11,0.82,Available for Pickup
52,Жемчужина Байкала,4369,200,Напитки,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2017-04-01,2028-05-06,2.89,On Backorder
53,Черника,583,623,Фрукты,Отличается легкостью в переваривании и усвоении организмом.,2000-01-06,2010-07-04,4.37,Temporarily Unavailable
54,Огурец,207,275,Овощи,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",1994-01-15,2017-01-15,4.31,Available for Pickup
55,Папайя,598,948,Фрукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",1997-01-01,2021-03-02,1.39,Temporarily Unavailable
56,Кольраби,9016,795,Овощи,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2010-06-02,2014-05-12,0.3,Backorder
57,"Специи (перец, куркума, зира)",9858,560,Бакалея,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2005-03-01,2006-02-12,3.55,On Backorder
58,Апельсин,2027,350,Фрукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2008-04-04,2013-03-07,2.39,Pending
59,Пакеты для аукциона,5870,704,Товары для дома,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2019-05-05,2025-07-01,3.39,Available for Pickup
60,Гусь,4489,318,Мясо,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",1995-02-11,2021-07-01,3.77,Pending
61,Пакеты для Дня независимости,4457,143,Товары для дома,Рекомендуется для ежедневного потребления в умеренных количествах.,2006-02-04,2010-08-08,3.11,Awaiting Payment
62,Фанта,2801,492,Напитки,Помогает укрепить иммунную систему и защитить организм от инфекций.,2012-01-12,2014-05-04,2.64,Returned
